y,u_cnavier,y_ghia,u_ghia
0.007812,0.000963,0.000000,0.000000
0.023438,0.004732,0.054700,-0.386900
0.039062,0.006469,0.062500,-0.444100
0.054688,0.004594,0.070300,-0.500000
0.070312,0.000096,0.101600,-0.611700
0.085938,-0.005426,0.171900,-0.702600
0.101562,-0.010944,0.281300,-0.701400
0.117188,-0.016049,0.453100,-0.650400
0.132812,-0.020638,0.500000,-0.617400
0.148438,-0.024717,0.617200,-0.515500
0.164062,-0.028334,0.734400,-0.373200
0.179688,-0.031563,0.851600,-0.187700
0.195312,-0.034492,0.953100,0.057000
0.210938,-0.037207,0.960900,0.186700
0.226562,-0.039783,0.968800,0.332200
0.242188,-0.042272,0.976600,0.466400
0.257812,-0.044705,1.000000,1.000000
0.273438,-0.047097,,
0.289062,-0.049449,,
0.304688,-0.051758,,
0.320312,-0.054020,,
0.335938,-0.056232,,
0.351562,-0.058398,,
0.367188,-0.060521,,
0.382812,-0.062610,,
0.398438,-0.064673,,
0.414062,-0.066717,,
0.429688,-0.068752,,
0.445312,-0.070785,,
0.460938,-0.072822,,
0.476562,-0.074867,,
0.492188,-0.076926,,
0.507812,-0.079002,,
0.523438,-0.081098,,
0.539062,-0.083216,,
0.554688,-0.085358,,
0.570312,-0.087526,,
0.585938,-0.089722,,
0.601562,-0.091946,,
0.617188,-0.094199,,
0.632812,-0.096479,,
0.648438,-0.098783,,
0.664062,-0.101102,,
0.679688,-0.103422,,
0.695312,-0.105720,,
0.710938,-0.107962,,
0.726562,-0.110105,,
0.742188,-0.112101,,
0.757812,-0.113907,,
0.773438,-0.115520,,
0.789062,-0.117017,,
0.804688,-0.118629,,
0.820312,-0.120813,,
0.835938,-0.124272,,
0.851562,-0.129760,,
0.867188,-0.137471,,
0.882812,-0.145907,,
0.898438,-0.150744,,
0.914062,-0.145188,,
0.929688,-0.123425,,
0.945312,-0.086048,,
0.960938,-0.042445,,
0.976562,-0.006649,,
0.992188,0.009597,,
