y,u
0.007812,0.000000
0.023438,-0.013441
0.039062,-0.025705
0.054688,-0.037180
0.070312,-0.048133
0.085938,-0.058679
0.101562,-0.068919
0.117188,-0.078941
0.132812,-0.088823
0.148438,-0.098629
0.164062,-0.108413
0.179688,-0.118216
0.195312,-0.128066
0.210938,-0.137980
0.226562,-0.147958
0.242188,-0.157988
0.257812,-0.168039
0.273438,-0.178065
0.289062,-0.188005
0.304688,-0.197777
0.320312,-0.207284
0.335938,-0.216412
0.351562,-0.225033
0.367188,-0.233004
0.382812,-0.240175
0.398438,-0.246385
0.414062,-0.251475
0.429688,-0.255283
0.445312,-0.257656
0.460938,-0.258455
0.476562,-0.257554
0.492188,-0.254851
0.507812,-0.250267
0.523438,-0.243756
0.539062,-0.235298
0.554688,-0.224906
0.570312,-0.212622
0.585938,-0.198516
0.601562,-0.182683
0.617188,-0.165234
0.632812,-0.146296
0.648438,-0.125997
0.664062,-0.104464
0.679688,-0.081812
0.695312,-0.058131
0.710938,-0.033475
0.726562,-0.007853
0.742188,0.018795
0.757812,0.046611
0.773438,0.075842
0.789062,0.106862
0.804688,0.140199
0.820312,0.176548
0.835938,0.216789
0.851562,0.261966
0.867188,0.313254
0.882812,0.371863
0.898438,0.438891
0.914062,0.515109
0.929688,0.600683
0.945312,0.694870
0.960938,0.795773
0.976562,0.899801
0.992188,1.000000
